Time Step,Time of Day,Edge ID,Pedestrian Density,Latitude,Longitude
60,18:01:00,:2342378668_0_0,5.405405405405405,33.938047394984615,-84.51983151347649
60,18:01:00,225470359#0_0,5.0,33.93930505579028,-84.5206390809639
120,18:02:00,-225470257_0,2.4003429061294472,33.9408791788246,-84.51994384325106
120,18:02:00,:2342415633_7_0,4.366197183098592,33.94094129973014,-84.5199618364582
120,18:02:00,225470262#0_0,5.0,33.93929812190349,-84.51874304678343
120,18:02:00,-225470245#2_0,5.0,33.940444000335965,-84.5198193073335
120,18:02:00,:2342378668_0_0,6.756756756756757,33.938047394984615,-84.51983151347649
180,18:03:00,:2342378532_2_0,16.666666666666668,33.9393039701689,-84.52063889611075
180,18:03:00,:2342415633_7_0,4.647887323943662,33.94094129973014,-84.5199618364582
180,18:03:00,-225470257_0,3.429061294470639,33.9408791788246,-84.51994384325106
180,18:03:00,:2342415677_6_0,4.294478527607362,33.94047196785136,-84.51982022658422
180,18:03:00,778437844#0_0,5.0,33.940953276493346,-84.52112889188555
180,18:03:00,-225470245#2_0,10.0,33.940444000335965,-84.5198193073335
180,18:03:00,-563616188#3_0,2.132701421800948,33.94064746858918,-84.517006542438
180,18:03:00,:2342415566_5_0,2.4287222808870115,33.938671647276166,-84.52026533620749
180,18:03:00,:2342378668_0_0,5.405405405405405,33.938047394984615,-84.51983151347649
240,18:04:00,225466099#2_0,2.107843137254902,33.93805406060216,-84.51983121191581
240,18:04:00,225470243#2_0,2.324749642346209,33.93879104391325,-84.52044565388142
240,18:04:00,225466096#3_0,2.144133412745682,33.93789613205457,-84.51983709195177
240,18:04:00,225466110#3_0,2.73972602739726,33.93881972805942,-84.52081324984914
240,18:04:00,225470245#2_0,5.0,33.940427613587225,-84.51981145354448
240,18:04:00,-225470257_0,4.522074582083155,33.9408791788246,-84.51994384325106
240,18:04:00,:2342415633_7_0,4.507042253521127,33.94094129973014,-84.5199618364582
240,18:04:00,:2342415677_6_0,4.294478527607362,33.94047196785136,-84.51982022658422
240,18:04:00,-225470245#2_0,15.0,33.940444000335965,-84.5198193073335
240,18:04:00,:12625990043_1_0,3.1914893617021276,33.94057151717197,-84.51700463821129
240,18:04:00,:8549651553_7_0,2.869287991498406,33.94073228521329,-84.5170099198975
240,18:04:00,225470262#0_0,5.0,33.93929812190349,-84.51874304678343
240,18:04:00,:2342378668_0_0,2.7027027027027026,33.938047394984615,-84.51983151347649
240,18:04:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
300,18:05:00,225466099#2_0,2.107843137254902,33.93805406060216,-84.51983121191581
300,18:05:00,225470243#2_0,2.503576537911302,33.93879104391325,-84.52044565388142
300,18:05:00,:2342378668_0_0,2.7027027027027026,33.938047394984615,-84.51983151347649
300,18:05:00,225466096#3_0,3.990470518165575,33.93789613205457,-84.51983709195177
300,18:05:00,:2342415566_5_0,2.5343189017951424,33.938671647276166,-84.52026533620749
300,18:05:00,:2342415633_7_0,5.070422535211268,33.94094129973014,-84.5199618364582
300,18:05:00,-225470244#0_0,2.1426062521952933,33.940993997808306,-84.52072465810969
300,18:05:00,-225470257_0,5.036433776253751,33.9408791788246,-84.51994384325106
300,18:05:00,:2342415677_6_0,3.9877300613496933,33.94047196785136,-84.51982022658422
300,18:05:00,:12625990039_1_0,3.2943676939426143,33.94024653130135,-84.51701970364128
300,18:05:00,:12625990043_1_0,2.021276595744681,33.94057151717197,-84.51700463821129
300,18:05:00,-563616188#1_0,2.0238095238095237,33.94032219343447,-84.51701620769204
300,18:05:00,-563616188#0_0,2.536231884057971,33.94016186083505,-84.51702356943031
300,18:05:00,-563616188#2_0,3.156708004509583,33.940486758787955,-84.51700861477704
300,18:05:00,-225470262#0_0,5.0,33.93928680570014,-84.51875862734926
300,18:05:00,-225485362#1_0,2.0833333333333335,33.93882857281175,-84.52193266434955
300,18:05:00,:2342378532_2_0,8.333333333333334,33.9393039701689,-84.52063889611075
300,18:05:00,-1134398602_0,5.0,33.938798036629386,-84.52105672121651
360,18:06:00,:10575648963_4_0,2.258469259723965,33.938758177547285,-84.52037164527982
360,18:06:00,225466099#2_0,2.0098039215686274,33.93805406060216,-84.51983121191581
360,18:06:00,-225470244#0_0,3.3485540334855406,33.940993997808306,-84.52072465810969
360,18:06:00,778437844#0_0,10.0,33.940953276493346,-84.52112889188555
360,18:06:00,-1134398602_0,10.0,33.938798036629386,-84.52105672121651
360,18:06:00,-225470257_0,4.907843977711102,33.9408791788246,-84.51994384325106
360,18:06:00,:2342415633_7_0,4.929577464788733,33.94094129973014,-84.5199618364582
