Time,Total Pedestrians,Mean Speed,Waiting Pedestrians,Average Route Time,Throughput,Max Pedestrian Density,Max Density Lane,Max Waiting Time,Total Distance Traveled,Average Distance,Deviation from Shortest Route
00:00:00,6,0.0,0,0,0,0.05955926146515784,225466096#3_0,0.0,0,0,1.0
00:01:00,6,1.3442060453540507,0,0,0,0.19762845849802374,-225470240#2_0,0.0,0,0,1.0
00:02:00,5,1.3781910318707271,0,120.0,1,0.3424657534246575,:2342378480_2_0,0.0,39.32773177350945,39.32773177350945,1.0
00:03:00,4,1.2984803442000057,0,150.0,1,0.1349527665317139,:7265220268_1_0,0.0,188.20168019603008,94.10084009801504,1.0
00:04:00,4,1.324585132675423,0,150.0,0,0.10341261633919338,:2342445266_0_0,0.0,188.20168019603008,94.10084009801504,1.0
00:05:00,3,1.2682212521938545,0,200.0,1,0.09823182711198429,:8549651553_1_0,0.0,581.4708849566262,193.8236283188754,1.0
00:06:00,2,1.0814200382914532,0,240.0,1,0.05265929436545551,225466116_0,0.0,997.268952867455,249.31723821686376,1.0
00:07:00,2,1.0878207685830055,0,240.0,0,0.14367816091954022,:2343357240_1_0,0.0,997.268952867455,249.31723821686376,1.0
00:08:00,1,1.3213671407809893,0,288.0,1,0.1440922190201729,:2342415492_0_0,0.0,1335.0279914520404,267.0055982904081,1.0
00:09:00,0,0,0,330.0,1,0,,0,1843.537837464242,307.25630624404033,1.0
00:10:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:11:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:12:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:13:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:14:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:15:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:16:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:17:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:18:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:19:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:20:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:21:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:22:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:23:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:24:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:25:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:26:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:27:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:28:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:29:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:30:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:31:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:32:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:33:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:34:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:35:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:36:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:37:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:38:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:39:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:40:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
00:41:00,0,0,0,330.0,0,0,,0,1843.537837464242,307.25630624404033,1.0
